Gene	ModuleColor	kWithin
590	ALG10	black	6.29090448728099
591	ALG10B	darkorange	0.975840159708217
592	ALG11	grey	1.72550063991642
593	ALG12	magenta	2.00781396431932
594	ALG13	grey	2.72329785222017
595	ALG14	magenta	1.03998854144843
596	ALG1L	grey	1.94051894487023
597	ALG2	black	4.46801056129304
598	ALG3	grey	2.85562781902703
599	ALG5	pink	5.72191557119149
600	ALG6	lightcyan	0.769654197781823
601	ALG8	grey	2.27656143108891
602	ALG9	pink	4.13906623015431
603	ALK	turquoise	5.34126785963882
604	ALKBH1	turquoise	4.36288584427518
605	ALKBH2	green	4.47086734609801
606	ALKBH3	lightcyan	3.38059720978774
607	ALKBH4	grey60	3.75374744485562
608	ALKBH5	lightyellow	6.64550188934607
609	ALKBH6	grey	1.4785640540911
610	ALKBH7	green	5.43282332313571
611	ALKBH8	brown	6.7797603279128
612	ALLC	grey	2.13224723444902
613	ALMS1	tan	3.72228968390669
614	ALOX12B	grey	1.00497686866481
615	ALOX15	black	4.6324507753039
616	ALOX5	turquoise	8.64147256486764
617	ALOX5AP	turquoise	6.66499540250212
618	ALPK1	grey60	2.72462877071382
619	ALPK2	lightgreen	2.36655540864557
620	ALPK3	saddlebrown	3.81093635134985
621	ALPL	grey	3.85225243264313
622	ALS2	salmon	11.9598362779259
623	ALS2CL	darkgrey	1.79871089944732
624	ALS2CR11	lightgreen	0.883426590321835
625	ALS2CR12	grey	1.82908030718893
626	ALX4	magenta	0.844292609755522
627	ALYREF	lightyellow	5.04495465121914
628	AMACR	grey	1.11313266214552
629	AMBRA1	midnightblue	0.751712009744669
630	AMD1	black	4.77429000177389
631	AMDHD1	darkred	0.290101048911985
632	AMDHD2	grey	1.21291519041707
633	AMER1	grey	4.06472035505184
634	AMER2	darkred	1.72755629484719
635	AMER3	royalblue	1.17642078931241
636	AMFR	green	0.654312360066566
637	AMH	magenta	0.869026649328164
638	AMICA1	grey	1.7007218650573
639	AMIGO1	cyan	5.57926037068542
640	AMIGO2	brown	2.25834498077427
641	AMMECR1	salmon	5.69470272224053
642	AMMECR1L	grey	0.833227653282553
643	AMN	midnightblue	1.29865496728116
644	AMN1	salmon	1.40815006716966
645	AMOT	blue	29.0573250982376
646	AMOTL1	cyan	3.53800932897065
647	AMOTL2	greenyellow	7.33923358830943
648	AMPD2	green	13.1541677928622
649	AMPD3	grey	1.81537905855537
650	AMPH	brown	4.83382426792557
651	AMT	blue	3.72341604947013
652	AMY2A	grey	1.37813798721417
653	AMY2B	grey	1.07239715392241
654	AMZ1	lightyellow	4.16779952941189
655	AMZ2	purple	1.32249825479564
656	ANAPC1	midnightblue	3.61938629842139
657	ANAPC10	lightcyan	10.5872004079685
658	ANAPC11	green	7.76369400868796
659	ANAPC13	grey	1.40239172086075
660	ANAPC15	purple	0.844903215679607
661	ANAPC16	brown	9.11384015518393
662	ANAPC2	darkgrey	3.10846450211551
663	ANAPC4	brown	0.841118964584834
664	ANAPC5	purple	1.85472806435817
665	ANAPC7	grey	2.40776480449137
666	ANGEL1	grey	1.90142755808881
667	ANGEL2	darkorange	1.50253268592047
668	ANGPT1	blue	13.9496917974682
669	ANGPT2	grey	1.0953328596337
670	ANGPT4	grey	5.16470323933029
671	ANGPTL1	blue	7.64616484619541
672	ANGPTL2	grey	5.11583415683193
673	ANGPTL4	turquoise	5.92450979122233
674	ANGPTL5	black	0.389916671226032
675	ANGPTL6	darkgreen	2.08805081052461
676	ANK1	turquoise	4.20131055318247
677	ANK2	grey60	0.492593100658028
678	ANK3	grey	1.36268575854257
